1,'book','کتاب','کتاب','BOOK',0,'عدد','0_1','1/1/2017 11:52','1/1/2017 11:52'
2,'general-books','کتاب‌های عمومی','کتاب_کتاب‌های عمومی','BOOK_GENERAL-BOOKS',0,'عدد','0_1_0','1/1/2017 11:53','1/1/2017 11:53'
3,'novel-books','رمان','کتاب_کتاب های عمومی_رمان','BOOK_GENERAL-BOOKS_NOVEL-BOOKS',1,'عدد','0_1_0_0','1/1/2017 12:03','1/1/2017 12:03'
4,'poetry-literature-books','شعر و ادبیات','کتاب_کتاب های عمومی_شعر و ادبیات','BOOK_GENERAL-BOOKS_POETRY-LITERATURE-BOOKS',1,'عدد','0_1_0_1','1/1/2017 12:13','1/1/2017 12:13'
5,'psychology-nurture-books','روانشناسی و تربیت','کتاب_کتاب های عمومی_روانشناسی و تربیت','BOOK_GENERAL-BOOKS_PSYCHOLOGY-NURTURE-BOOKS',1,'عدد','0_1_0_2','1/1/2017 12:13','1/1/2017 12:13'
6,'house-housekeeping-books','خانه و خانه داری','کتاب_کتاب های عمومی_خانه و خانه داری','BOOK_GENERAL-BOOKS_HOUSE-HOUSEKEEPING-BOOKS',1,'عدد','0_1_0_3','1/1/2017 12:25','1/1/2017 12:25'
7,'hygiene-health-books','بهداشت و سلامت','کتاب_کتاب های عمومی_بهداشت و سلامت','BOOK_GENERAL-BOOKS_HYGIENE-HEALTH-BOOKS',1,'عدد','0_1_0_4','1/1/2017 12:25','1/1/2017 12:25'
8,'philosophy-mysticism-books','فلسفه و عرفان','کتاب_کتاب های عمومی_فلسفه و عرفان','BOOK_GENERAL-BOOKS_PHILOSOPHY-MYSTICISM-BOOKS',1,'عدد','0_1_0_5','1/1/2017 12:25','1/1/2017 12:25'
9,'foreign-languages-books','زبان‌های خارجی','کتاب_کتاب‌های عمومی_زبان‌های خارجی','BOOK_GENERAL-BOOKS_FOREIGN-LANGUAGES-BOOKS',1,'عدد','0_1_0_6','1/1/2017 13:40','1/1/2017 13:40'
10,'business-management-books','مدیریت و تجارت','کتاب_کتاب های عمومی_مدیریت و تجارت','BOOK_GENERAL-BOOKS_BUSINESS-MANAGEMENT-BOOKS',1,'عدد','0_1_0_7','1/1/2017 12:30','1/1/2017 12:30'
11,'internet-computer-books','اینترنت و کامپیوتر','کتاب_کتاب های عمومی_اینترنت و کامپیوتر','BOOK_GENERAL-BOOKS_INTERNET-COMPUTER-BOOKS',1,'عدد','0_1_0_8','1/1/2017 12:41','1/1/2017 12:41'
12,'art-culture-books','هنر و فرهنگ','کتاب_کتاب های عمومی_هنر و فرهنگ','BOOK_GENERAL-BOOKS_ART-CULTURE-BOOKS',1,'عدد','0_1_0_9','1/1/2017 12:41','1/1/2017 12:41'
13,'biography-memories-books','زندگی‌نامه و خاطرات','کتاب_کتاب‌های عمومی_زندگی‌نامه و خاطرات','BOOK_GENERAL-BOOKS_BIOGRAPHY-MEMORIES-BOOKS',1,'عدد','0_1_0_10','1/1/2017 13:40','1/1/2017 13:40'
14,'history-books','تاریخ','کتاب_کتاب های عمومی_تاریخ','BOOK_GENERAL-BOOKS_HISTORY-BOOKS',1,'عدد','0_1_0_11','1/1/2017 12:41','1/1/2017 12:41'
15,'exquisite-books','نفیس','کتاب_کتاب های عمومی_نفیس','BOOK_GENERAL-BOOKS_EXQUISITE-BOOKS',1,'عدد','0_1_0_12','1/1/2017 12:41','1/1/2017 12:41'
16,'educational-books','کتاب‌های آموزشی و کمک آموزشی','کتاب_کتاب‌های آموزشی و کمک آموزشی','BOOK_EDUCATIONAL-BOOKS',0,'عدد','0_1_1','1/1/2017 14:02','1/1/2017 14:02'
17,'academic-books','دانشگاهی','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS',0,'عدد','0_1_1_0','1/1/2017 13:40','1/1/2017 13:40'
18,'engineering-books','فنی مهندسی','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_فنی مهندسی','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_ENGINEERING-BOOKS',1,'عدد','0_1_1_0_0','1/1/2017 14:02','1/1/2017 14:02'
19,'medical-books','پزشکی','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_پزشکی','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_MEDICAL-BOOKS',1,'عدد','0_1_1_0_1','1/1/2017 14:02','1/1/2017 14:02'
20,'humanities-books','علوم انسانی','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_علوم انسانی','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_HUMANITIES-BOOKS',1,'عدد','0_1_1_0_2','1/1/2017 14:02','1/1/2017 14:02'
21,'art-books','هنر','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_هنر','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_ART-BOOKS',1,'عدد','0_1_1_0_3','1/1/2017 14:02','1/1/2017 14:02'
22,'foreignlanguages-books','زبان‌های خارجه','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_زبان‌های خارجه','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_FOREIGNLANGUAGES-BOOKS',1,'عدد','0_1_1_0_4','1/1/2017 14:02','1/1/2017 14:02'
23,'science','علوم پایه','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_علوم پایه','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_SIENCE',1,'عدد','0_1_1_0_5','1/1/2017 14:03','1/1/2017 14:03'
24,'entranceexam-books','کنکوری','کتاب_کتاب‌های آموزشی و کمک آموزشی_کنکوری','BOOK_EDUCATIONAL-BOOKS_ENTRANCEEXAM-BOOKS',0,'عدد','0_1_1_1','1/1/2017 14:04','1/1/2017 14:04'
25,'highschool-books','متوسطه','کتاب_کتاب‌های آموزشی و کمک آموزشی_متوسطه','BOOK_EDUCATIONAL-BOOKS_HIGHSCHOOL-BOOKS',0,'عدد','0_1_1_2','1/1/2017 14:05','1/1/2017 14:05'
26,'elementary-books','ابتدایی','کتاب_کتاب‌های آموزشی و کمک آموزشی_ابتدایی','BOOK_EDUCATIONAL-BOOKS_ELEMENTARY-BOOKS',0,'عدد','0_1_1_3','1/1/2017 14:06','1/1/2017 14:06'
27,'preschool-books','پیش دبستانی','کتاب_کتاب‌های آموزشی و کمک آموزشی_پیش دبستانی','BOOK_EDUCATIONAL-BOOKS_PRESCHOOL-BOOKS',1,'عدد','0_1_1_4','1/1/2017 14:07','1/1/2017 14:07'
28,'common-courses-books','دروس مشترک','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_دروس مشترک','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_COMMON-COURSES-BOOKS',1,'عدد','0_1_1_0_4','1/1/2017 14:08','1/1/2017 14:08'
29,'math-physics-books','ریاضی فیزیک','کتاب_کتاب‌های آموزشی و کمک آموزشی_کنکوری_ریاضی فیزیک','BOOK_EDUCATIONAL-BOOKS_ENTRANCEEXAM-BOOKS_MATH-PHYSICS-BOOKS',1,'عدد','0_1_1_1_0','1/1/2017 14:09','1/1/2017 14:09'
30,'science-books','تجربی','کتاب_کتاب‌های آموزشی و کمک آموزشی_کنکوری_تجربی','BOOK_EDUCATIONAL-BOOKS_ENTRANCEEXAM-BOOKS_SCIENCE-BOOKS',1,'عدد','0_1_1_1_1','1/1/2017 14:10','1/1/2017 14:10'
31,'humanities-exam-books','انسانی','کتاب_کتاب‌های آموزشی و کمک آموزشی_کنکوری_انسانی','BOOK_EDUCATIONAL-BOOKS_ENTRANCEEXAM-BOOKS_HUMANITIES-EXAM-BOOKS',1,'عدد','0_1_1_1_2','1/1/2017 14:11','1/1/2017 14:11'
32,'seventh-grade-books','پایه هفتم','کتاب_کتاب‌های آموزشی و کمک آموزشی_متوسطه_پایه هفتم','BOOK_EDUCATIONAL-BOOKS_HIGHSCHOOL-BOOKS_SEVENTH-GRADE-BOOKS',1,'عدد','0_1_1_2_0','1/1/2017 14:12','1/1/2017 14:12'
33,'eighth-grade-books','پایه هشتم','کتاب_کتاب‌های آموزشی و کمک آموزشی_متوسطه_پایه هشتم','BOOK_EDUCATIONAL-BOOKS_HIGHSCHOOL-BOOKS_EIGHTH-GRADE-BOOKS',1,'عدد','0_1_1_2_1','1/1/2017 14:13','1/1/2017 14:13'
34,'ninth-grade-books','پایه نهم','کتاب_کتاب‌های آموزشی و کمک آموزشی_متوسطه_پایه نهم','BOOK_EDUCATIONAL-BOOKS_HIGHSCHOOL-BOOKS_NINTH-GRADE-BOOKS',1,'عدد','0_1_1_2_2','1/1/2017 14:14','1/1/2017 14:14'
35,'tenth-grade-books','پایه دهم','کتاب_کتاب‌های آموزشی و کمک آموزشی_متوسطه_پایه دهم','BOOK_EDUCATIONAL-BOOKS_HIGHSCHOOL-BOOKS_TENTH-GRADE-BOOKS',1,'عدد','0_1_1_2_3','1/1/2017 14:15','1/1/2017 14:15'
36,'eleventh-grade-books','پایه یازدهم','کتاب_کتاب‌های آموزشی و کمک آموزشی_متوسطه_پایه یازدهم','BOOK_EDUCATIONAL-BOOKS_HIGHSCHOOL-BOOKS_ELEVENTH-GRADE-BOOKS',1,'عدد','0_1_1_2_4','1/1/2017 14:16','1/1/2017 14:16'
37,'twelfth-grade-books','پایه دوازدهم','کتاب_کتاب‌های آموزشی و کمک آموزشی_متوسطه_پایه دوازدهم','BOOK_EDUCATIONAL-BOOKS_HIGHSCHOOL-BOOKS_TWELFTH-GRADE-BOOKS',1,'عدد','0_1_1_2_5','1/1/2017 14:17','1/1/2017 14:17'
38,'first-grade-books','پایه اول','کتاب_کتاب‌های آموزشی و کمک آموزشی_ابتدایی_پایه اول','BOOK_EDUCATIONAL-BOOKS_ELEMENTARY-BOOKS_FIRST-GRADE-BOOKS',1,'عدد','0_1_1_3_0','1/1/2017 14:18','1/1/2017 14:18'
39,'second-grade-books','پایه دوم','کتاب_کتاب‌های آموزشی و کمک آموزشی_ابتدایی_پایه دوم','BOOK_EDUCATIONAL-BOOKS_ELEMENTARY-BOOKS_SECOND-GRADE-BOOKS',1,'عدد','0_1_1_3_1','1/1/2017 14:19','1/1/2017 14:19'
40,'third-grade-books','پایه سوم','کتاب_کتاب‌های آموزشی و کمک آموزشی_ابتدایی_پایه سوم','BOOK_EDUCATIONAL-BOOKS_ELEMENTARY-BOOKS_THIRD-GRADE-BOOKS',1,'عدد','0_1_1_3_2','1/1/2017 14:20','1/1/2017 14:20'
41,'fourth-grade-school','پایه چهارم','کتاب_کتاب‌های آموزشی و کمک آموزشی_ابتدایی_پایه چهارم','BOOK_EDUCATIONAL-BOOKS_ELEMENTARY-BOOKS_FOURTH-GRADE-SCHOOL',1,'عدد','0_1_1_3_3','1/1/2017 14:21','1/1/2017 14:21'
42,'fifth-grade-books','پایه پنجم','کتاب_کتاب‌های آموزشی و کمک آموزشی_ابتدایی_پایه پنجم','BOOK_EDUCATIONAL-BOOKS_ELEMENTARY-BOOKS_FIFTH-GRADE-BOOKS',1,'عدد','0_1_1_3_4','1/1/2017 14:22','1/1/2017 14:22'
43,'sixth-grade-books','پایه ششم','کتاب_کتاب‌های آموزشی و کمک آموزشی_ابتدایی_پایه ششم','BOOK_EDUCATIONAL-BOOKS_ELEMENTARY-BOOKS_SIXTH-GRADE-BOOKS',1,'عدد','0_1_1_3_5','1/1/2017 14:23','1/1/2017 14:23'
44,'general-medicine-books','پزشکی عمومی','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_پزشکی_پزشکی عمومی','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_MEDICAL-BOOKS_GENERAL-MEDICINE-BOOKS',1,'عدد','0_1_1_0_1_0','1/1/2017 14:24','1/1/2017 14:24'
45,'dentistry-books','دندان پزشکی','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_پزشکی_دندان پزشکی','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_MEDICAL-BOOKS_DENTISTRY-BOOKS',1,'عدد','0_1_1_0_1_1','1/1/2017 14:25','1/1/2017 14:25'
46,'management-books','مدیریت','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_علوم انسانی_مدیریت','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_HUMANITIES-BOOKS_MANAGEMENT-BOOKS',1,'عدد','0_1_1_0_2_0','1/1/2017 14:26','1/1/2017 14:26'
47,'entrepreneurship-books','کارآفرینی','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_علوم انسانی_کارآفرینی','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_HUMANITIES-BOOKS_ENTREPRENEURSHIP-BOOKS',1,'عدد','0_1_1_0_2_1','1/1/2017 14:27','1/1/2017 14:27'
48,'English-books','زبان انگلیسی','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_هنر و زبان‌های خارجه_زبان انگلیسی','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_ART-FOREIGNLANGUAGES-BOOKS_ENGLISH-BOOKS',1,'عدد','0_1_1_0_3_0','1/1/2017 14:28','1/1/2017 14:28'
